project_name,builder_name,locality,area,price_min,price_max,price_per_sft,possession_date,construction_progress,land_area_acres,total_units,unit_types,complaints_on_project,complaints_on_builder,land_litigations,property_title_summary,google_reviews_score,distance_from_nearest_office_hub,builder_reliability,density,timeline_reliability,commute_score,latitude,longitude,start_date,RERA_registration_number
Abhee Prakruthi Villa,Abhee Ventures,Chandapura,Bengaluru East,20128892,68247872,17626,06-02-2024,100,31.6,2780,"1BHK, 4BHK",0,2,0,Clear title with no encumbrances.,4.8,10.3,0.85,87,1.0,0.89,12.97,77.7363,19-02-2020,PRM/KA/RERA/1251/446/PR/396097/56545
Brigade Golden Triangle,Brigade Enterprises,Old Madras Road,Bengaluru East,12302056,48210760,14456,28-10-2022,100,33.96,2784,"1BHK, 2.5BHK, 3BHK",1,0,0,Clear title with no encumbrances.,4.1,8.73,0.76,81,0.6,0.9,12.9279,77.6732,10-09-2018,PRM/KA/RERA/1251/446/PR/228868/22860
Rohan Akriti,Rohan Builders,Kanakapura Road,Bengaluru East,11491270,54029612,13762,14-12-2021,100,26.24,1941,"1BHK, 3.5BHK, 3BHK, 4BHK",0,0,0,Clear title with no encumbrances.,4.1,13.21,0.76,73,0.8,0.66,12.9485,77.7116,18-03-2018,PRM/KA/RERA/1251/446/PR/913507/81663
Gopalan National Elegance,Gopalan Enterprises,CV Raman Nagar,Bengaluru East,10335150,45328752,12159,18-09-2029,78,5.52,485,"1BHK, 2.5BHK, 2BHK, 3.5BHK",0,2,0,Clear title with no encumbrances.,4.7,2.65,0.9,87,1.0,0.63,12.9328,77.7485,17-07-2024,PRM/KA/RERA/1251/446/PR/337157/72775
Goyal Orchid Whitefield,Goyal & Co,Whitefield,Bengaluru East,13693330,33623454,11507,21-06-2026,69,10.55,654,"3.5BHK, 3BHK",0,2,0,Clear title with no encumbrances.,4.2,11.05,0.79,61,0.9,0.69,12.9689,77.7063,08-10-2023,PRM/KA/RERA/1251/446/PR/547179/31517
Concorde Cuppa,Concorde Group,Sarjapur,Bengaluru East,14729216,42854400,15872,13-11-2028,60,33.59,3157,"1BHK, 2.5BHK, 2BHK, 3BHK",0,20,1,"Clear, marketable title with disclosed litigation.",4.6,9.88,0.82,93,1.0,0.67,12.931,77.6897,08-05-2023,PRM/KA/RERA/1251/446/PR/181929/59880
Prestige Boulevard,Prestige Estates,Whitefield,Bengaluru East,17800354,34145800,14846,01-01-2022,100,5.89,418,"3.5BHK, 3BHK",0,20,0,Clear title with no encumbrances.,4.6,14.4,0.94,70,0.9,0.7,12.9693,77.734,15-09-2019,PRM/KA/RERA/1251/446/PR/920241/89412
Godrej Air,Godrej Properties,Hoodi,Bengaluru East,16686980,39378480,17455,27-09-2022,100,28.31,2802,"1BHK, 2BHK, 3.5BHK, 3BHK",1,0,0,Clear title with no encumbrances.,4.0,9.85,0.92,98,0.9,0.66,12.9288,77.6603,23-08-2018,PRM/KA/RERA/1251/446/PR/366752/69448
Salarpuria Sattva Park Cubix,Salarpuria Sattva,Devanahalli,Bengaluru North,20059606,43951598,17263,05-12-2023,100,10.55,1012,"1BHK, 2.5BHK, 3.5BHK, 3BHK",0,45,0,Clear title with no encumbrances.,4.6,3.69,0.96,95,0.6,0.62,12.9922,77.7048,28-09-2020,PRM/KA/RERA/1251/446/PR/127923/30705
Bren Starlight,Bren Corporation,Budigere Cross,Bengaluru East,13752060,30136575,14385,11-09-2022,100,27.99,2015,"2.5BHK, 3BHK, 4BHK",1,2,0,Clear title with no encumbrances.,4.2,11.71,0.84,71,0.8,0.76,12.9803,77.7154,14-02-2018,PRM/KA/RERA/1251/446/PR/616263/94128
Godrej 24,Godrej Properties,Sarjapur,Bengaluru East,15173384,34593588,14396,05-08-2026,24,11.05,983,"1BHK, 2.5BHK, 4BHK",1,10,0,Clear title with no encumbrances.,3.9,7.76,0.89,88,1.0,0.7,12.9465,77.7184,06-06-2021,PRM/KA/RERA/1251/446/PR/143573/17975
Sobha Quartz,Sobha Limited,Bellandur,Bengaluru East,13127673,39989157,15951,10-07-2022,100,29.86,2956,"1BHK, 2.5BHK, 2BHK",0,2,0,Clear title with no encumbrances.,4.3,1.02,0.83,98,0.9,0.64,12.9362,77.6716,13-06-2018,PRM/KA/RERA/1251/446/PR/254508/59655
Salarpuria Sattva Cadenza,Salarpuria Sattva,Kudlu Gate,Bengaluru East,8232678,39878640,10278,08-10-2025,51,33.47,2108,"2.5BHK, 2BHK, 3BHK, 4BHK",0,2,0,Clear title with no encumbrances.,4.5,1.02,0.76,62,1.0,0.62,12.8666,77.6906,21-10-2020,PRM/KA/RERA/1251/446/PR/442097/99809
Sumadhura Sushantham,Sumadhura Group,Sahakar Nagar,Bengaluru East,14056350,66124478,17038,23-08-2023,100,20.6,1483,"1BHK, 2.5BHK",0,0,0,Clear title with no encumbrances.,4.9,6.45,0.86,71,0.6,0.86,12.9291,77.7438,10-09-2019,PRM/KA/RERA/1251/446/PR/147171/96522
SJR Primecorp Palazza City,SJR Primecorp,Sarjapur,Bengaluru East,17532228,41512119,16923,22-06-2026,55,8.8,572,"1BHK, 2.5BHK, 3.5BHK",0,0,0,Clear title with no encumbrances.,4.8,9.21,0.96,65,1.0,0.82,12.8835,77.7456,13-01-2023,PRM/KA/RERA/1251/446/PR/916096/18926
Brigade Woods,Brigade Enterprises,Whitefield,Bengaluru East,15996780,27415476,17676,02-05-2026,38,17.17,1287,"1BHK, 2BHK, 3BHK, 4BHK",1,0,0,Clear title with no encumbrances.,4.0,1.53,0.8,74,0.9,0.62,12.8696,77.6774,18-11-2021,PRM/KA/RERA/1251/446/PR/841145/45275
Bren Northern Lights,Bren Corporation,Jakkur,Bengaluru North,19879249,31304923,17797,11-12-2027,64,19.98,1798,"2BHK, 4BHK",0,0,0,Clear title with no encumbrances.,4.7,8.14,0.82,89,0.4,0.74,12.904,77.663,02-09-2023,PRM/KA/RERA/1251/446/PR/214565/43639
Bharatiya City Nikoo Homes 4,Bhartiya City,Thanisandra,Bengaluru North,14324970,58037310,15690,06-12-2027,44,7.89,512,"1BHK, 2.5BHK, 3.5BHK, 4BHK",1,2,0,Clear title with no encumbrances.,4.1,7.39,0.88,64,0.6,0.76,12.9032,77.7374,28-12-2022,PRM/KA/RERA/1251/446/PR/542599/10727
Prestige Sunrise Park,Prestige Estates,Electronic City,Bengaluru South,12291564,26268892,11164,16-07-2028,34,6.66,606,"2.5BHK, 2BHK",0,10,0,Clear title with no encumbrances.,4.4,4.98,0.87,90,0.8,0.67,12.9288,77.666,19-11-2023,PRM/KA/RERA/1251/446/PR/731983/83790
Rohan Jidnyasa,Rohan Builders,Whitefield,Bengaluru East,13064825,33423714,11119,08-04-2024,100,6.65,578,"1BHK, 2BHK, 4BHK",0,2,0,Clear title with no encumbrances.,4.1,1.4,0.84,86,0.4,0.89,12.8722,77.7056,07-06-2019,PRM/KA/RERA/1251/446/PR/318491/11317
Prestige Tranquility,Prestige Estates,Budigere Cross,Bengaluru East,15802958,37087616,15662,23-04-2025,25,15.07,949,"2BHK, 4BHK",0,0,0,Clear title with no encumbrances.,4.3,14.05,0.83,62,0.6,0.86,12.8893,77.6564,18-05-2020,PRM/KA/RERA/1251/446/PR/119307/42620
DivyaSree 77 East,DivyaSree Developers,Marathahalli,Bengaluru East,20564400,49337423,17137,23-05-2027,78,36.12,3503,"1BHK, 2.5BHK, 2BHK, 4BHK",2,5,0,Clear title with no encumbrances.,4.8,6.92,0.98,96,1.0,0.79,12.9443,77.725,22-03-2023,PRM/KA/RERA/1251/446/PR/525335/68426
Bren Champions Square,Bren Corporation,Sarjapur,Bengaluru East,13042668,20684670,11922,27-01-2024,100,26.64,1598,"1BHK, 2BHK, 3.5BHK, 3BHK",1,0,2,"Clear, marketable title with disclosed litigation.",4.3,13.52,0.97,59,0.8,0.8,12.8502,77.6535,02-05-2021,PRM/KA/RERA/1251/446/PR/241408/47764
Prestige Augusta Golf Village,Prestige Estates,Horamavu,Bengaluru East,13975902,39379527,15633,13-04-2023,100,23.03,1934,"1BHK, 2BHK",0,2,0,Clear title with no encumbrances.,4.6,7.16,0.98,83,0.8,0.65,12.9379,77.6534,09-08-2019,PRM/KA/RERA/1251/446/PR/756231/54353
Prestige Lakeside Habitat,Prestige Estates,Varthur,Bengaluru East,14435345,38925320,16165,14-09-2023,100,7.23,477,"1BHK, 2.5BHK, 2BHK, 4BHK",0,0,0,Clear title with no encumbrances.,4.7,7.56,0.91,65,0.8,0.86,12.9119,77.6533,05-07-2019,PRM/KA/RERA/1251/446/PR/853987/47130
Brigade Cornerstone Utopia,Brigade Enterprises,Varthur,Bengaluru East,17860156,43547472,17789,25-07-2023,100,34.67,2253,"1BHK, 2.5BHK, 2BHK, 4BHK",1,2,0,Clear title with no encumbrances.,4.6,14.76,0.96,64,1.0,0.94,12.9689,77.7343,10-09-2018,PRM/KA/RERA/1251/446/PR/618955/11979
Prestige Casabella,Prestige Estates,Electronic City,Bengaluru South,12763284,56919012,15396,21-10-2024,100,39.04,3708,"2.5BHK, 2BHK, 3.5BHK, 3BHK",0,5,0,Clear title with no encumbrances.,4.5,12.9,0.87,94,1.0,0.79,12.8912,77.6695,14-01-2021,PRM/KA/RERA/1251/446/PR/901134/17932
Purva Fountain Square,Puravankara,Marathahalli,Bengaluru East,13931940,20277180,12540,25-01-2026,47,24.98,1823,"1BHK, 2BHK, 3.5BHK, 3BHK",0,0,0,Clear title with no encumbrances.,4.0,9.11,0.77,72,1.0,0.78,12.8819,77.7326,28-01-2022,PRM/KA/RERA/1251/446/PR/696256/41172
Vaswani Exquisite,Vaswani Group,Whitefield,Bengaluru East,15166756,47211304,16612,03-12-2024,100,33.71,2090,"2BHK, 4BHK",0,5,0,Clear title with no encumbrances.,4.1,14.5,0.9,61,1.0,0.64,12.9472,77.6988,05-09-2021,PRM/KA/RERA/1251/446/PR/144645/68972
Salarpuria Sattva East Crest,Salarpuria Sattva,Old Madras Road,Bengaluru East,18256266,30120282,17046,11-08-2029,14,7.48,553,"2.5BHK, 3BHK",1,5,0,Clear title with no encumbrances.,3.9,7.17,0.75,73,0.4,0.72,12.95,77.7464,03-09-2024,PRM/KA/RERA/1251/446/PR/248553/87595
Assetz Sun and Sanctum,Assetz Property Group,KR Puram,Bengaluru East,10358589,20705175,12003,17-03-2023,100,23.11,2010,"1BHK, 2BHK",0,0,0,Clear title with no encumbrances.,4.5,10.03,0.83,86,0.8,0.94,12.9592,77.67,01-05-2019,PRM/KA/RERA/1251/446/PR/173159/17890
Brigade Metropolis,Brigade Enterprises,Mahadevapura,Bengaluru East,12538581,41919555,10653,24-04-2026,89,25.87,2354,"2BHK, 3.5BHK, 3BHK",0,2,0,Clear title with no encumbrances.,4.0,8.28,0.93,90,1.0,0.78,12.9332,77.7164,17-08-2022,PRM/KA/RERA/1251/446/PR/232368/62773
Sobha Amethyst,Sobha Limited,Whitefield,Bengaluru East,18144342,33568605,15723,04-01-2023,100,24.9,2041,"2.5BHK, 3.5BHK, 3BHK, 4BHK",1,0,0,Clear title with no encumbrances.,4.1,12.08,0.98,81,0.8,0.92,12.9844,77.7289,18-11-2018,PRM/KA/RERA/1251/446/PR/404985/61428
Brigade Belvedere,Brigade Enterprises,Whitefield,Bengaluru East,9554415,33841851,11307,23-02-2026,14,13.6,965,"2BHK, 3.5BHK, 3BHK",1,0,0,Clear title with no encumbrances.,4.7,2.5,0.84,70,1.0,0.95,12.9767,77.6793,22-04-2021,PRM/KA/RERA/1251/446/PR/396343/33825
Abhee Prince,Abhee Ventures,Bellandur,Bengaluru East,15207909,61021089,17223,18-04-2024,100,24.51,2009,"2.5BHK, 2BHK, 4BHK",0,5,0,Clear title with no encumbrances.,4.0,7.69,0.93,81,0.9,0.91,12.8664,77.6576,11-01-2021,PRM/KA/RERA/1251/446/PR/468879/80263
Prestige Summer Fields,Prestige Estates,Sarjapur,Bengaluru East,12794488,41290648,14392,07-02-2023,100,38.41,2765,"2BHK, 4BHK",0,2,0,Clear title with no encumbrances.,4.0,7.7,0.83,71,1.0,0.8,12.9831,77.7295,20-01-2019,PRM/KA/RERA/1251/446/PR/590432/12990
Purva Zenium,Puravankara,Hosahalli,Bengaluru East,14820783,41438417,17581,26-02-2022,100,34.28,3325,"1BHK, 2.5BHK, 3.5BHK, 4BHK",2,0,0,Clear title with no encumbrances.,4.6,14.84,0.83,96,0.6,0.79,12.8653,77.6928,04-10-2018,PRM/KA/RERA/1251/446/PR/130568/55527
Sobha Sentosa,Sobha Limited,Panathur,Bengaluru East,13988674,52204978,17122,22-06-2023,100,7.08,531,"1BHK, 2.5BHK, 3.5BHK",0,5,0,Clear title with no encumbrances.,4.1,8.57,0.75,75,1.0,0.84,12.8559,77.736,27-11-2020,PRM/KA/RERA/1251/446/PR/208030/89913
Godrej Splendour,Godrej Properties,Belathur,Bengaluru East,17800442,26420278,16022,07-08-2027,10,5.04,332,"1BHK, 2.5BHK, 3BHK",0,0,0,Clear title with no encumbrances.,4.1,4.85,0.94,65,0.9,0.93,12.9662,77.6589,04-12-2022,PRM/KA/RERA/1251/446/PR/372029/87726
Abhee Silicon Shine,Abhee Ventures,Sarjapur,Bengaluru East,12033600,47369765,12535,12-09-2028,29,36.17,2531,"1BHK, 2BHK",0,0,0,Clear title with no encumbrances.,3.9,4.81,0.96,69,1.0,0.9,12.9024,77.7489,19-04-2024,PRM/KA/RERA/1251/446/PR/571593/82485
Concorde Auriga,Concorde Group,KR Puram,Bengaluru East,11881514,27238882,11359,16-05-2021,100,32.68,2516,"1BHK, 3.5BHK, 4BHK",1,45,0,Clear title with no encumbrances.,3.9,10.4,0.92,76,0.8,0.63,12.9894,77.6528,07-06-2018,PRM/KA/RERA/1251/446/PR/848756/78004
Assetz Here and Now,Assetz Property Group,Thanisandra,Bengaluru North,14106750,26305730,13435,14-09-2024,100,21.04,1830,"1BHK, 2.5BHK, 2BHK",2,2,0,Clear title with no encumbrances.,4.5,3.77,0.89,86,0.6,0.66,12.9497,77.7373,06-02-2021,PRM/KA/RERA/1251/446/PR/562554/65271
Sobha Dream Acres,Sobha Limited,Panathur,Bengaluru East,10314120,40018275,12765,13-09-2025,62,38.49,2501,"3BHK, 4BHK",5,2,0,Clear title with no encumbrances.,4.2,2.15,0.93,64,0.8,0.61,12.9501,77.669,11-01-2022,PRM/KA/RERA/1251/446/PR/573061/65628
Nambiar Bellezea,Nambiar Builders,Sarjapur,Bengaluru East,14413725,22031532,12267,07-10-2024,100,30.17,1810,"2.5BHK, 3.5BHK",0,0,0,Clear title with no encumbrances.,3.8,13.66,0.77,59,0.9,0.66,12.9145,77.7328,23-01-2021,PRM/KA/RERA/1251/446/PR/187616/51869
Prestige Waterford,Prestige Estates,Whitefield,Bengaluru East,12114765,33376536,14337,13-09-2028,96,39.54,3242,"2.5BHK, 2BHK, 3.5BHK",0,0,0,Clear title with no encumbrances.,4.7,12.0,0.79,81,1.0,0.81,12.9578,77.6728,08-02-2023,PRM/KA/RERA/1251/446/PR/579765/66767
Prestige Woodside,Prestige Estates,Yelahanka,Bengaluru North,9854608,26786405,11621,11-10-2026,65,35.13,2740,"1BHK, 3.5BHK, 3BHK, 4BHK",0,2,0,Clear title with no encumbrances.,4.5,4.29,0.86,77,0.9,0.69,12.9787,77.687,04-02-2023,PRM/KA/RERA/1251/446/PR/768734/11999
Sobha Petunia,Sobha Limited,Hebbal,Bengaluru North,13043727,28496502,15849,07-07-2027,95,27.32,1967,"2BHK, 3.5BHK",0,0,0,Clear title with no encumbrances.,4.5,5.3,0.78,71,0.9,0.69,12.9931,77.6774,28-06-2024,PRM/KA/RERA/1251/446/PR/120451/62791
Assetz Earth and Essence,Assetz Property Group,Off International Airport Road,Bengaluru East,14176610,56589880,14570,15-02-2021,100,20.02,1561,"1BHK, 2BHK, 3BHK",0,0,0,Clear title with no encumbrances.,4.2,9.25,0.77,77,0.9,0.77,12.8814,77.7356,07-09-2018,PRM/KA/RERA/1251/446/PR/445122/12583
Sumadhura Eden Garden,Sumadhura Group,Whitefield,Bengaluru East,13248534,46246872,11714,01-04-2027,53,35.27,2504,"2.5BHK, 2BHK, 3.5BHK, 3BHK",0,20,0,Clear title with no encumbrances.,4.6,1.27,0.77,70,1.0,0.68,12.8924,77.6527,10-12-2024,PRM/KA/RERA/1251/446/PR/988614/24475
Arvind Bel Air,Arvind SmartSpaces,Yelahanka,Bengaluru North,12120880,28524630,11930,20-06-2024,100,19.62,1922,"2.5BHK, 2BHK, 4BHK",2,2,0,Clear title with no encumbrances.,4.9,8.01,0.82,97,0.9,0.85,12.9717,77.6837,18-10-2020,PRM/KA/RERA/1251/446/PR/747619/13109
Brigade Serenity,Brigade Enterprises,Whitefield,Bengaluru East,13109052,19143780,12678,01-12-2028,93,3.0,273,"1BHK, 2BHK, 3BHK",5,10,0,Clear title with no encumbrances.,4.2,11.76,0.81,91,1.0,0.95,12.9094,77.6806,27-07-2023,PRM/KA/RERA/1251/446/PR/979294/94557
Brigade Altamont,Brigade Enterprises,Hennur,Bengaluru North,13233242,38335000,15334,14-04-2027,88,24.37,2095,"1BHK, 2.5BHK, 3.5BHK",0,2,0,Clear title with no encumbrances.,4.6,2.07,0.85,85,0.8,0.72,12.944,77.6593,17-08-2022,PRM/KA/RERA/1251/446/PR/216489/18425
DSR The Address,DSR Infraprojects,Sarjapur,Bengaluru East,14423760,36436140,13455,05-05-2027,60,9.57,794,"1BHK, 3.5BHK",0,0,0,Clear title with no encumbrances.,4.4,10.17,0.77,82,0.9,0.78,12.8628,77.6625,18-02-2023,PRM/KA/RERA/1251/446/PR/852196/87717
Excel Stone,Excel Dwellings,Sarjapur,Bengaluru East,13336974,24244992,11142,18-01-2029,83,4.92,329,"2BHK, 3.5BHK, 3BHK",0,45,0,Clear title with no encumbrances.,3.9,5.32,0.89,66,0.9,0.93,12.8601,77.688,05-03-2024,PRM/KA/RERA/1251/446/PR/457164/58849
Mana Tropicale,Mana Projects,Sarjapur,Bengaluru East,13438508,22623411,14419,18-04-2028,55,26.79,2625,"1BHK, 2.5BHK, 3.5BHK, 3BHK",0,20,0,Clear title with no encumbrances.,4.0,7.02,0.89,97,0.6,0.94,12.9414,77.7199,03-12-2024,PRM/KA/RERA/1251/446/PR/552873/34668
DSR White Waters,DSR Infraprojects,Carmelaram,Bengaluru East,14471538,59163992,15973,18-04-2023,100,33.59,2149,"3BHK, 4BHK",0,2,0,Clear title with no encumbrances.,4.5,14.19,0.93,63,0.8,0.79,12.8777,77.677,19-01-2020,PRM/KA/RERA/1251/446/PR/323142/48851
Brigade Lakefront,Brigade Enterprises,EPIP Zone,Bengaluru East,11064790,29750676,11834,12-02-2025,84,32.23,2062,"1BHK, 3.5BHK",0,2,0,Clear title with no encumbrances.,3.9,3.42,0.91,63,1.0,0.86,12.891,77.7276,28-05-2021,PRM/KA/RERA/1251/446/PR/401041/32284
UKN The Belvedere,UKN Properties,Airport Road,Bengaluru East,13288302,25300575,14667,07-06-2024,100,25.94,2438,"1BHK, 2BHK, 3.5BHK, 4BHK",0,10,0,Clear title with no encumbrances.,4.6,2.58,0.95,93,0.9,0.63,12.8628,77.7016,19-11-2019,PRM/KA/RERA/1251/446/PR/716994/20749
Salarpuria Sattva Knowledge City,Salarpuria Sattva,HITECH City,Bengaluru East,8930704,37895420,10012,21-07-2025,12,12.38,1176,"2BHK, 3.5BHK",0,2,1,"Clear, marketable title with disclosed litigation.",4.8,9.24,0.84,94,0.8,0.82,12.8871,77.6535,03-11-2020,PRM/KA/RERA/1251/446/PR/509298/71040
DivyaSree Republic of Whitefield,DivyaSree Developers,Whitefield,Bengaluru East,12195862,20014005,11027,27-06-2025,69,28.88,2252,"1BHK, 3.5BHK",2,2,0,Clear title with no encumbrances.,4.2,3.61,0.79,77,0.6,0.63,12.8891,77.7035,04-10-2020,PRM/KA/RERA/1251/446/PR/937949/48882
DSR Woodwinds,DSR Infraprojects,Sarjapur,Bengaluru East,12838735,38237927,12649,09-11-2022,100,8.82,723,"1BHK, 3BHK, 4BHK",0,0,0,Clear title with no encumbrances.,4.0,4.6,0.75,81,0.8,0.62,12.9384,77.7122,25-07-2019,PRM/KA/RERA/1251/446/PR/827447/23193
Vamshi Flora,Vamshi Builders,Marathahalli,Bengaluru East,14540512,44960384,15568,17-09-2025,19,39.59,3206,"1BHK, 2BHK, 3BHK",0,0,0,Clear title with no encumbrances.,4.3,8.57,0.78,80,0.9,0.65,12.9908,77.6583,25-10-2020,PRM/KA/RERA/1251/446/PR/241194/82795
Salarpuria Sattva Serenity,Salarpuria Sattva,HSR Layout,Bengaluru East,12937620,44370570,15185,02-11-2026,12,38.33,3258,"2BHK, 3.5BHK",1,5,0,Clear title with no encumbrances.,4.5,14.52,0.93,84,0.4,0.83,12.9011,77.6935,03-09-2021,PRM/KA/RERA/1251/446/PR/628726/55880
Nambiar District 25 Phase 1,Nambiar Builders,Sarjapur,Bengaluru East,15377937,48488088,16697,15-04-2026,92,36.22,2426,"3.5BHK, 3BHK, 4BHK",1,10,0,Clear title with no encumbrances.,4.4,7.81,0.94,66,0.8,0.75,12.9533,77.6611,05-08-2023,PRM/KA/RERA/1251/446/PR/638513/28620
Salarpuria Sattva Signet,Salarpuria Sattva,Sarjapur,Bengaluru East,14462700,22787240,13580,01-05-2027,31,29.69,2583,"2.5BHK, 2BHK",0,2,0,Clear title with no encumbrances.,4.7,11.32,0.9,86,1.0,0.68,12.8844,77.7184,27-04-2022,PRM/KA/RERA/1251/446/PR/483514/31812
DivyaSree Elan,DivyaSree Developers,Sarjapur,Bengaluru East,16871984,52923488,14984,23-08-2025,71,26.31,2262,"2.5BHK, 3BHK, 4BHK",0,20,0,Clear title with no encumbrances.,4.7,11.91,0.81,85,0.9,0.69,12.9002,77.6762,27-07-2021,PRM/KA/RERA/1251/446/PR/191877/96413
Purva Sunflower,Puravankara,Magadi Road,Bengaluru East,14287312,55336216,15496,28-04-2027,64,24.32,2188,"1BHK, 3.5BHK",1,45,0,Clear title with no encumbrances.,4.2,4.47,0.97,89,0.8,0.61,12.9356,77.6567,01-08-2024,PRM/KA/RERA/1251/446/PR/572466/49536
Godrej Air Nxt,Godrej Properties,Whitefield,Bengaluru East,16689732,34106320,13978,10-06-2024,100,26.21,2463,"1BHK, 3.5BHK, 3BHK",0,2,0,Clear title with no encumbrances.,4.1,1.08,0.93,93,0.6,0.9,12.8537,77.6877,23-07-2021,PRM/KA/RERA/1251/446/PR/859455/34517
Mana Capitol,Mana Projects,Sarjapur,Bengaluru East,13847130,46456146,13002,06-03-2026,27,18.98,1556,"1BHK, 2.5BHK, 3.5BHK, 3BHK",0,0,0,Clear title with no encumbrances.,4.6,9.43,0.83,81,1.0,0.72,12.9433,77.7078,06-07-2021,PRM/KA/RERA/1251/446/PR/236942/65991
Prestige Kew Gardens,Prestige Estates,Yemalur,Bengaluru East,12061107,37280709,10161,07-08-2026,88,33.82,3009,"2.5BHK, 3BHK",0,5,1,"Clear, marketable title with disclosed litigation.",3.9,12.29,0.97,88,1.0,0.83,12.9117,77.7398,21-05-2022,PRM/KA/RERA/1251/446/PR/404739/37845
Brigade Sanctuary,Brigade Enterprises,Whitefield,Bengaluru East,12875031,26178007,12227,13-09-2022,100,33.32,2299,"1BHK, 3.5BHK, 3BHK",2,20,0,Clear title with no encumbrances.,4.1,4.69,0.94,68,0.8,0.71,12.9251,77.6536,08-07-2019,PRM/KA/RERA/1251/446/PR/161824/48171
Century Ethos,Century Real Estate,Hebbal,Bengaluru North,14947548,52815594,13866,02-03-2024,100,14.43,1255,"2.5BHK, 3BHK",0,0,0,Clear title with no encumbrances.,4.4,12.65,0.86,86,1.0,0.92,12.8535,77.6549,05-04-2021,PRM/KA/RERA/1251/446/PR/626955/12719
Goyal Orchid Piccadilly,Goyal & Co,Thanisandra,Bengaluru North,12698692,30817263,12071,10-12-2029,94,28.32,2067,"2BHK, 3.5BHK, 4BHK",1,0,0,Clear title with no encumbrances.,4.3,7.3,0.91,72,0.4,0.87,12.9892,77.7049,16-05-2024,PRM/KA/RERA/1251/446/PR/770609/13548
Purva Riviera,Puravankara,Marathahalli,Bengaluru East,12500904,50367720,15171,01-09-2029,84,32.75,3242,"2.5BHK, 2BHK, 3.5BHK",0,0,0,Clear title with no encumbrances.,4.2,1.16,0.97,98,1.0,0.75,12.9504,77.7435,26-04-2024,PRM/KA/RERA/1251/446/PR/469020/63505
Salarpuria Sattva Celesta,Salarpuria Sattva,KR Puram,Bengaluru East,13936260,41535520,13663,25-12-2022,100,22.65,2197,"2BHK, 3.5BHK, 3BHK",2,0,0,Clear title with no encumbrances.,4.7,8.64,0.76,96,0.9,0.73,12.984,77.701,07-10-2018,PRM/KA/RERA/1251/446/PR/245082/84733
Concorde Manhattans,Concorde Group,Electronic City,Bengaluru South,17216424,40954752,17532,10-08-2027,88,19.27,1387,"3BHK, 4BHK",0,2,0,Clear title with no encumbrances.,4.6,3.61,0.9,71,1.0,0.83,12.9088,77.7242,12-05-2022,PRM/KA/RERA/1251/446/PR/161190/79942
SNN Clermont,SNN Estates,Hebbal,Bengaluru North,13272165,43448877,15523,12-01-2027,17,7.7,739,"1BHK, 2BHK, 4BHK",1,10,0,Clear title with no encumbrances.,3.9,8.28,0.79,95,0.9,0.77,12.9827,77.7162,22-12-2023,PRM/KA/RERA/1251/446/PR/500819/33730
Assetz Leaves and Lives,Assetz Property Group,Sarjapur,Bengaluru East,9407841,38603207,10019,26-10-2026,37,10.35,879,"2BHK, 3.5BHK",0,0,0,Clear title with no encumbrances.,4.4,12.05,0.98,84,0.8,0.82,12.9287,77.6718,01-04-2022,PRM/KA/RERA/1251/446/PR/892503/82911
Brigade Buena Vista,Brigade Enterprises,Budigere Cross,Bengaluru East,12467485,39878445,12505,13-01-2024,100,10.65,745,"1BHK, 2.5BHK, 2BHK",1,0,0,Clear title with no encumbrances.,4.3,5.08,0.95,69,0.9,0.8,12.9152,77.7434,19-08-2021,PRM/KA/RERA/1251/446/PR/692998/26740
Brigade Crescent,Brigade Enterprises,Nandidurga Road,Bengaluru East,18099970,32463172,16682,20-08-2024,100,36.14,2204,"3.5BHK, 3BHK",0,10,0,Clear title with no encumbrances.,4.3,5.17,0.81,60,0.8,0.68,12.8707,77.7077,19-02-2020,PRM/KA/RERA/1251/446/PR/100633/29556
Purva 270,Puravankara,CV Raman Nagar,Bengaluru East,13984200,24720958,15538,02-12-2022,100,24.66,1479,"3.5BHK, 3BHK",0,10,0,Clear title with no encumbrances.,3.8,14.77,0.89,59,0.9,0.93,12.9344,77.6697,10-01-2018,PRM/KA/RERA/1251/446/PR/648470/30181
Purva Season,Puravankara,CV Raman Nagar,Bengaluru East,13542495,48755885,14515,06-08-2022,100,37.68,3654,"1BHK, 3.5BHK, 3BHK, 4BHK",0,0,0,Clear title with no encumbrances.,4.8,10.48,0.96,96,1.0,0.92,12.9917,77.7336,14-08-2019,PRM/KA/RERA/1251/446/PR/970321/18198
Abhee Sunrise,Abhee Ventures,HSR Layout,Bengaluru East,10839175,35655525,13075,19-04-2024,100,26.65,1945,"2BHK, 3.5BHK",1,5,0,Clear title with no encumbrances.,4.3,1.28,0.84,72,0.9,0.68,12.942,77.6781,28-09-2019,PRM/KA/RERA/1251/446/PR/942627/57260
Concorde Tech Turf,Concorde Group,Electronic City,Bengaluru South,17610609,38548247,17419,15-01-2027,31,24.46,1834,"1BHK, 2.5BHK, 2BHK",0,45,0,Clear title with no encumbrances.,4.2,11.73,0.9,74,1.0,0.92,12.8683,77.7186,12-04-2024,PRM/KA/RERA/1251/446/PR/783782/75917
